claim_id,claim(必须带限定语),evidence,evidence_type,source,confidence,status,关联门控
E11,铁死亡驱动 NASH/MASH 进展(疾病侧),MCD小鼠RSL3加重/selenite+liproxstatin-1+DFO改善NASH与肝GPX4/脂质过氧化,文献,PMID 31610178(Am J Pathol 2020;190(1)),high,成立,G0
E12,NRF2-GSH防线与NAFLD相关(疾病侧),HFD小鼠/肝细胞+人体脂肪肝组织:NRF2下调伴脂质过氧化/铁死亡增强;上调缓解,文献,PMID 36495698(Free Radic Biol Med 2023;196:18-31),high,成立,G0
E13,Nrf2靶向抑制肝细胞铁死亡改善MASH有天然产物先例(可行性非Moracin N证据),Hinokitiol HFHC/PO肝细胞模型经Nrf2/GPX4抑制铁死亡改善MASH,文献,PMID 39922149(Phytomedicine 2025;139:156472),medium,成立(先例),G0
E14,Moracin N 在肝细胞/MASH语境零数据(空白即定位),无肝细胞/MASH数据/无口服PK/无TR/FXR/Nrf2直接结合;桑叶来源定量2.19mg/100g干重,文献+检索留痕,PMID 31008101(来源定量);fifth/qualification_round检索审计,high,空白确认(创新位依据),G0
E15,MASH 已有两个FDA获批药物+OCA无MASH批准,resmetirom(2024-03)+semaglutide(2025-08)获批;OCA无MASH批准且EU PBC适应证2024-08撤销,监管检索留痕,fifth_round_20260912(监管审计;570条API查询含19条失败原样保留),high,成立,G0
E16,FASN 靶点临床可行性成立,denifanstat(委福司他)Ph2b MASH组织学阳性终点,文献,PMID 39396529,high,成立,G0
E17,docking 分数不具备候选排序区分能力(阴性结论),WT TRβ 14配体区分门控 ROC-AUC 0.472(CI 0.341-0.607),计算(fifth轮实跑),fifth_round_20260912(WT gate),high,阴性成立(排序用途永久废弃),G4
E18,Moracin N 湿验证全部判读点未执行,Gate M0/B0/1/2/3 全部 not_executed;物料未到货无COA/批号,实验计划(冻结),advancement_round_20260913/MoracinN_*(启动包),high,未执行(外部阻塞),G5
E19,3'-methoxydaidzein 因NaV off-target 风险降级,NaV1.7/1.8/1.3=181/397/505nM 本体电生理,文献,PMID 31262454,high,成立(降级依据),G5
E20,FASN 全量数据 provenance 完整,1652条/51assay记录级lineage(assay/document/DOI/PMID/物种/单位转换);本轮审计0缺失,计算+数据库快照,final_strategy_round_20260912/FASN_activity_master.csv+qualification_v1/derived/provenance_audit.json,high,成立,G1
E21,EGCG等NP的动物源FASN活性数值可用于桥接参考但不可入训练集,EGCG IC50=51.97μM(动物FASN);(-)-CG 1.5μg/mL(acyl transferase域);物种/assay不明点不入正式训练,文献(推进轮审计),PMID 21605850;15943584;advancement_round_20260913/FASN_natural_product_bridge_v2.csv,medium,成立(仅参考),G1
