record_id,分子,来源药材,PubMed疾病检索命中数,PubMed机制检索命中数,疾病模型证据,疾病证据层级,直接靶点与功能证据,靶点证据层级,暴露与可开发性,计算支持,研究增量,保留或降级理由,证据状态,主要缺口
NP54-011,isovitexin,isovitexin,2,20,本轮精确PubMed检索命中2条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中20条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-012,hyperoside,hyperoside,16,60,开放全文PMCID PMC12832275：HFD高糖大鼠，0.6/1.5 mg/kg/day，治疗4周，n=6–7；H&E和Sirius Red及α-SMA提示脂变/早期纤维化改善。PMC12869213：HFD大鼠，1.5/3.0 mg/kg，脂质/胆汁酸/脂肪酸代谢改善，未形成系统抗纤维化终点。,全文级（两篇开放全文）；另有摘要级NASH纤维化研究,Flot2/TLR4/NLRP3焦亡为摘要级CETSA/计算/敲低线索；开放全文报告FXR和ACLY ITC+对接/MD，但没有细胞内target engagement、酶活竞争或暴露桥接。,全文/摘要分层（详见tierA_fulltext_review_v2.md）,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,优先做可测性/聚集和PA/OA、LX2分开表型；FXR/ACLY只作为正交机制假说，需CETSA/酶活/敲低或回补。,A-tier复核保留，仍不等于实验放行,A-tier证据升级（全文/摘要分开）,来源/部位/纯度/PK未人工闭环；直接结合/暴露与实验可重复性待核
NP54-013,isoquercitrin,isoquercitrin,19,53,开放全文PMCID PMC10218527：MCD先诱导2周后，IQ 25 mg/kg/day与MCD共3周，n=8；H&E、NAS、Oil Red O和Sirius Red提示脂变/steatohepatitis及胶原改善。HFD-NASH研究为摘要级且做过PK探索但参数未核实。,全文级（PMCID PMC10218527）；HFD研究摘要级,NLRP3–HSP90/SGT1/HSF1通路和转录组支持；主要为通路/表达与对接，未完成HSP90物理结合或细胞内target engagement。,全文/摘要分层（详见tierA_fulltext_review_v2.md）,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,作为第二轮疾病/炎症候选；优先做糖苷身份、聚集/溶解度和MCD模型外的代谢性模型。,A-tier复核保留，仍不等于实验放行,A-tier证据升级（全文/摘要分开）,来源/部位/纯度/PK未人工闭环；直接结合/暴露与实验可重复性待核
NP54-014,epicatechin,epicatechin,52,241,本轮精确PubMed检索命中52条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中241条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-015,procyanidin B2,procyanidin_B2,10,25,本轮精确PubMed检索命中10条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中25条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-016,ursolic acid,ursolic_acid,52,91,开放全文PMCID PMC11261229：HFD小鼠12周，UA 25/50/100 mg/kg/day；MASLD脂变、炎症和代谢改善；重点为SPP1/Th17，非成熟纤维化模型。,全文级（PMCID PMC11261229）；NASH-decorin研究主要摘要级,HuProt筛选、SPR（UA–SPP1 KD约17.1 μM）、pull-down、Co-IP、SPP1 knockdown及recombinant SPP1回补，支持分泌型SPP1–ITGB1/CD44–ERK–Th17功能链；不是高亲和力或单一靶点药效证明。,全文/摘要分层（详见tierA_fulltext_review_v2.md）,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,若进入首轮，先解决低溶解度/车辆/暴露；表型后做SPP1轴和免疫/HSC分流，不能把decorin摘要调节写成直接结合。,A-tier复核保留，仍不等于实验放行,A-tier证据升级（全文/摘要分开）,来源/部位/纯度/PK未人工闭环；直接结合/暴露与实验可重复性待核
NP54-017,oleanolic acid,oleanolic_acid,42,102,本轮精确PubMed检索命中42条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中102条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-018,corosolic acid,corosolic_acid,8,16,本轮精确PubMed检索命中8条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中16条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-019,maslinic acid,maslinic_acid,7,12,本轮精确PubMed检索命中7条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中12条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-020,tormentic acid,tormentic_acid,6,4,本轮精确PubMed检索命中6条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中4条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-021,alisol A,alisol_A,8,4,本轮精确PubMed检索命中8条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中4条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-022,alisol B,alisol_B,18,16,开放全文PMCID PMC9231195：DIO+CCl4和CDA饮食NASH小鼠；Alisol B 100 mg/kg口服，n=8；两个模型均有NAS、Sirius Red/胶原、α-SMA/Col1a1和脂毒性改善。原代肝细胞PA 0.2 mM/48 h，10–20 μM降低TG。,全文级（PMCID PMC9231195）；其他两篇摘要级,CD36和RARα–HNF4α–PPARγ级联有siRNA/过表达/功能支持；FXR或RARα不是已证实的Alisol B直接结合靶点。另一篇摘要报告Alisol B–XO SPR及XO过表达救援，但KD/构建体需全文核查；AB23A衍生物不可转移给母体。,全文/摘要分层（详见tierA_fulltext_review_v2.md）,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,首轮疾病面板优先；身份必须区分Alisol B与AB23A/acetate；后续用CD36/RARα机制和暴露桥接，不以对接替代结合。,A-tier复核保留，仍不等于实验放行,A-tier证据升级（全文/摘要分开）,来源/部位/纯度/PK未人工闭环；直接结合/暴露与实验可重复性待核
NP54-023,alisol C,alisol_C,0,2,本轮精确PubMed检索命中0条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中2条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-024,alisol B acetate,alisol_B_acetate,0,0,本轮精确PubMed检索命中0条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中0条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-025,16-oxo-alisol A,16-oxo-alisol_A,0,0,本轮精确PubMed检索命中0条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中0条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-026,alismol,alismol,2,0,本轮精确PubMed检索命中2条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中0条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-027,alismoxide,alismoxide,0,0,本轮精确PubMed检索命中0条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中0条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-028,obtusifolin,obtusifolin,1,2,本轮精确PubMed检索命中1条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中2条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-029,obtusin,obtusin,9,3,本轮精确PubMed检索命中9条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中3条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-030,aurantio-obtusin,aurantio-obtusin,9,3,本轮精确PubMed检索命中9条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中3条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-031,chryso-obtusin,chryso-obtusin,0,0,本轮精确PubMed检索命中0条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中0条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-032,rubrofusarin,rubrofusarin,4,3,本轮精确PubMed检索命中4条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中3条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-033,toralactone,toralactone,1,1,本轮精确PubMed检索命中1条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中1条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-034,puerarin,puerarin,50,90,开放全文PMCID PMC10668385：HFD+STZ雄性C57BL/6J，puerarin 200 mg/kg、每周3次、4周、n=8；AML12 PA 0.4 mM/48 h，75 μM不影响活力；组织和血生化、Masson/Sirius Red及铁死亡指标改善。其他NASH/MASLD研究为摘要级。,全文级（PMCID PMC10668385）；其他研究摘要级,SIRT1/NRF2/HO-1/SLC7A11/GPX4和炎症线索；EX-527与Nrf2 siRNA提供部分因果支持；puerarin–SIRT1只有对接，不是直接结合。,全文/摘要分层（详见tierA_fulltext_review_v2.md）,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,疾病/铁死亡双线可进入首轮，但200 mg/kg与75 μM没有暴露桥接，必须先做溶解性/暴露和铁死亡特异性救援。,A-tier复核保留，仍不等于实验放行,A-tier证据升级（全文/摘要分开）,来源/部位/纯度/PK未人工闭环；直接结合/暴露与实验可重复性待核
NP54-035,daidzein,daidzein,44,90,CCl4/BDL纤维化小鼠及TGFβ1-LX2 HSC模型，抑制integrin αVβ1/YAP（PMID 40407304，摘要）；非代谢性损伤，不等于MASH,摘要/条件有限,Takeuchi 2009报告TRα/TRβ激动/拮抗均未见；Ariyani 2018报告genistein/daidzein增强T3-TR转录并直接作用TR-LBD（PMID 19182375/29688519，摘要级）；FXR单条件阴性记录来自旧矩阵，条件需全文复核,摘要/条件有限,本库无实测PK/肝暴露；异黄酮代谢/结合蛋白等缺口,"TRβ WT 3GWS派生受体，4种子中位=-9.601，范围=[-9.606,-9.595]；仅描述性重复性，不是活性预测",见候选比较文档；未知不等于阴性,降级：非代谢纤维化/机制对照，不列最终候选,已核查分层,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-036,daidzin,daidzin,9,16,本轮精确PubMed检索命中9条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中16条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-037,genistin,genistin,3,13,本轮精确PubMed检索命中3条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中13条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-038,formononetin,formononetin,13,41,MCD-NASH小鼠治疗性干预：ALT/AST、TG、肝脂变和FAO改善；SIRT1/PGC-1α/PPARα干预/抑制实验（PMID 38185065，摘要；MCD为非典型代谢模型）,全文,FXR直接结合/功能：SPR KD 1.323 μM、Ostβ报告基因EC50 0.1972 μM、SHP/Ostβ mRNA；CJNM 2024 DOI 10.1016/S1875-5364(24)60706-5正文全文；不是本项目新发现,全文,本库无实测PK/肝暴露；文献给药/制剂与本项目试剂纯度未闭环,"TRβ WT 3GWS派生受体，4种子中位=-9.072，范围=[-9.078,-9.046]；仅描述性重复性，不是活性预测",见候选比较文档；未知不等于阴性,保留：疾病锚/机制桥接候选,已核查分层,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-039,biochanin A,biochanin_A,11,35,DIO/HFD小鼠肝脂变、胰岛素抵抗和代谢通路改善（PMID 27145114；脂变级非MASH/NASH级）,全文,FXR SPR KD 0.347 μM、报告基因EC50 0.4441 μM及双功能/抗炎实验；CJNM 2024全文；应作为体系阳性对照，不占候选位,全文,动物膳食给药文献；本库无纯度/肝暴露/可购形式核验,"TRβ WT 3GWS派生受体，4种子中位=-9.255，范围=[-9.261,-9.211]；仅描述性重复性，不是活性预测",见候选比较文档；未知不等于阴性,保留：FXR体系阳性对照,已核查分层,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-040,3'-methoxydaidzein,3-methoxydaidzein,0,1,本轮PubMed精确疾病检索未找到MASH/NASH/NAFLD/MASLD直接模型；PMID 41344662为复方/药材成分与毒性暴露背景，PMID 9322358为QR分离研究，均非抗MASH疗效,摘要/条件有限,FXR/TR直接实验未找到；邻近异黄酮formononetin/biochanin A的FXR证据不能转移；为3'位甲氧基SAR探针,摘要/条件有限,无本体PK/肝暴露/溶解度实测；可开发性未知,"TRβ WT 3GWS派生受体，4种子中位=-9.741，范围=[-9.763,-9.727]；仅描述性重复性，不是活性预测",见候选比较文档；未知不等于阴性,降级：SAR负/正结果均有信息，但无疾病锚,已核查分层,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
