record_id,candidate,reason,disease_query_hits,mechanism_query_hits,status
NP54-024,alisol B acetate,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,0,0,excluded_or_deferred_not_proven_inactive
NP54-025,16-oxo-alisol A,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,0,0,excluded_or_deferred_not_proven_inactive
NP54-026,alismol,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,2,0,excluded_or_deferred_not_proven_inactive
NP54-027,alismoxide,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,0,0,excluded_or_deferred_not_proven_inactive
NP54-028,obtusifolin,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,1,2,excluded_or_deferred_not_proven_inactive
NP54-029,obtusin,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,9,3,excluded_or_deferred_not_proven_inactive
NP54-030,aurantio-obtusin,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,9,3,excluded_or_deferred_not_proven_inactive
NP54-031,chryso-obtusin,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,0,0,excluded_or_deferred_not_proven_inactive
NP54-032,rubrofusarin,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,4,3,excluded_or_deferred_not_proven_inactive
NP54-033,toralactone,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,1,1,excluded_or_deferred_not_proven_inactive
NP54-034,puerarin,糖苷/异黄酮有方向线索，但疾病、直接靶点和暴露条件尚未按本轮标准闭环,50,90,excluded_or_deferred_not_proven_inactive
NP54-035,daidzein,有非代谢性CCl4/BDL纤维化证据和TR敏化文献，但与总问题的MASH疾病锚不够直接,44,90,excluded_or_deferred_not_proven_inactive
NP54-036,daidzin,糖苷/异黄酮有方向线索，但疾病、直接靶点和暴露条件尚未按本轮标准闭环,9,16,excluded_or_deferred_not_proven_inactive
NP54-037,genistin,糖苷/异黄酮有方向线索，但疾病、直接靶点和暴露条件尚未按本轮标准闭环,3,13,excluded_or_deferred_not_proven_inactive
NP54-040,3'-methoxydaidzein,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,0,1,excluded_or_deferred_not_proven_inactive
NP54-041,ononin,糖苷/异黄酮有方向线索，但疾病、直接靶点和暴露条件尚未按本轮标准闭环,6,6,excluded_or_deferred_not_proven_inactive
NP54-042,sarmentosin,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,1,1,excluded_or_deferred_not_proven_inactive
NP54-043,hypophyllanthin,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,0,1,excluded_or_deferred_not_proven_inactive
NP54-044,nirtetralin,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,0,0,excluded_or_deferred_not_proven_inactive
NP54-045,niranthin,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,0,1,excluded_or_deferred_not_proven_inactive
NP54-046,1-deoxynojirimycin,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,19,3,excluded_or_deferred_not_proven_inactive
NP54-047,oxyresveratrol,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,3,6,excluded_or_deferred_not_proven_inactive
NP54-048,astragalin,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,6,12,excluded_or_deferred_not_proven_inactive
NP54-050,moracin M,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,0,2,excluded_or_deferred_not_proven_inactive
NP54-051,mulberrofuran G,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,0,1,excluded_or_deferred_not_proven_inactive
NP54-052,piceid,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,2,5,excluded_or_deferred_not_proven_inactive
NP54-053,catechin,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,110,510,excluded_or_deferred_not_proven_inactive
NP54-054,torachrysone,未形成可核查的MASH/NASH直接证据与可操作机制假说；本轮仅记录检索命中，不将未知当阴性,0,1,excluded_or_deferred_not_proven_inactive
