asset_id,repository,relative_path,asset_type,target,source_round,qualification_status,evidence_level,current_role,superseded_by,hash,bytes,file_count,path_status,notes
AIDD-FASN-LEAK-001,aidd,00-当前研究/qualification_round_20260913/FASN_leakage_audit.csv,leakage_audit,FASN,资格验证轮,VERIFIED,high,同折泄漏审计,,8030e1e89571ac404b221a13c74f2572a8ae2ab0a728ef28de691061d82658ee,820,1,EXISTS,结构重复/scaffold 共享/复制跨集为零；高相似另标 chemical-series confinement
AIDD-FASN-EXTRES-001,aidd,00-当前研究/qualification_round_20260913/FASN_external_validation.md,external_validation,FASN,资格验证轮,VERIFIED,high,跨 assay 阴性证据,,63c67b3ef852531dcf3f1667c1ff54b970dd1a42384b1f6fc58edd3ed58913d0,3479,1,EXISTS,Ridge R² 0.180；分 assay 全负；不得重写成泛化通过
AIDD-FASN-ADUQ-001,aidd,00-当前研究/qualification_round_20260913/FASN_AD_UQ_report.md,ad_uq_report,FASN,资格验证轮,VERIFIED,high,AD/UQ 限定证据,,ee08ac8f6612fc519397e290cf46fcf6af980eebe7682da047bd4292309eb91a,2168,1,EXISTS,内部有效/外部 conformal 失效
AIDD-FASN-SCRIPT-001,aidd,00-当前研究/final_strategy_round_20260912/run_fasn_canonical_multiseed.py,reproduction_code,FASN,最终战略冻结轮,VERIFIED,medium,历史/当前复现参考代码,,b660604b080c1815b51f54905b464add5a66d97edc39a7630439ff28354253dd,14510,1,EXISTS,不覆盖新 qualification_v1 脚本
AIDD-FXR-DATA-001,aidd,00-当前研究/candidate_decision_20260910/chembl_fxr_data.csv,activity_table,FXR,候选决策轮,VERIFIED,medium,FXR evidence-anchor 数据,,e4ad8ccbc83aff4313401c8beff374b76ef8188e93a0b47a416a0fcc8719ba34,19100507,1,EXISTS,实际模型过滤条件和 assay 需按 manifest 读取
AIDD-FXR-MODEL-001,aidd,00-当前研究/candidate_decision_20260910/derived/fxr_locked_model,model_bundle,FXR,候选决策轮,VERIFIED,medium,内部 scaffold reproducibility reference,,16c0b414371805c3da5f34cf4bda77016bee791603bd2afcba712c51f7e3c2d2,5245924,11,EXISTS,模型可读且 locked test 未用于训练；不是外部验证/候选放行
AIDD-FXR-MANIFEST-001,aidd,00-当前研究/candidate_decision_20260910/derived/fxr_locked_model/model_manifest.json,model_manifest,FXR,候选决策轮,VERIFIED,high,FXR 模型 provenance,,0739f5d6c55ff4e343108f412f591b5a90ab221067a68e9468da0df5fc8ef25c,2648,1,EXISTS,threshold_pActivity=8；10 nM 是该 assay-specific label，不作普适阈值；2026-09-14 仅修正文案并加入 metadata_correction
AIDD-FXR-MANIFEST-LEGACY-001,aidd,00-当前研究/asset_preservation_and_gnn_replan_v1/legacy_metadata/fxr_model_manifest_pre_20260914.json,legacy_metadata,FXR,asset preservation v1,HISTORICAL,medium,修正前元数据审计保留,00-当前研究/candidate_decision_20260910/derived/fxr_locked_model/model_manifest.json,305f49757f2250e70e898ce41b49431397de1b9b59896a808462e0d01e5e40fb,2402,1,EXISTS,旧 threshold_note 含 100 nM；SHA-256=305f49757f2250e70e898ce41b49431397de1b9b59896a808462e0d01e5e40fb
AIDD-THRB-2J4A-001,aidd,03-课题-MASH研究-v2/data/pdb/2J4A.pdb,receptor_structure,THRβ,历史结构线,HISTORICAL,medium,mutant_receptor_exploratory 原始结构,00-当前研究/h1_mash/WTfull.pdb,3927d873fe47522ad8c102a03ed06778c2771f8fd9944eada01c7293dbc79d07,207952,1,EXISTS,2J4A/N331S 历史受体；保留原始 PDB，不支持 WT 泛化
AIDD-THRB-2J4A-002,aidd,03-课题-MASH研究-v2/docking/receptors/THRB_2J4A.pdbqt,prepared_receptor,THRβ,历史结构线,HISTORICAL,medium,历史对接复现输入,,c9a69f39abb9a8363c10a97d9c3e6001f0b338f8cd21198fcd9d4d2289a86e04,189864,1,EXISTS,N331S mutant receptor prepared file
AIDD-THRB-WT-GATE-001,aidd,00-当前研究/fifth_round_20260912/derived/wt_gate_run,docking_bundle,THRβ,第五轮候选审计,VERIFIED,high,docking ranking failure evidence,,5841d41ad28a14ce9a79d33e8030f2feac0ed1d469d3c0bea05594ab02fbd777,1927493,159,EXISTS,78 配体日志/输出；WT ROC-AUC 0.472，证明排序门失败
AIDD-THRB-OLD-PRED-001,aidd,03-课题-MASH研究-v2/results/tables/THRB_cluster_split_testpred.csv,historical_predictions,THRβ,MASH v2,HISTORICAL,low,历史模型/方法对照,00-当前研究/fifth_round_20260912/WT_gate_results.md,82068738e5793d9afacb54f8bc3d35dee7a7a1c84d2f6d7cc56dd45285a92728,1457,1,EXISTS,不得用于 candidate ranking 或 selectivity 结论
AIDD-DOCK-JOBS-001,aidd,00-当前研究/candidate_decision_20260910/raw/dockscope_job_manifest.json,docking_manifest,多靶点,候选决策轮,VERIFIED,medium,历史执行 provenance,,db5d8610f5183a3e3fe981286d259f2be9ebe15c0e595b96ff4d1ab22308e950,46641,1,EXISTS,保留任务参数和文件映射；docking 只作结构假说
AIDD-DOCK-RANK-001,aidd,00-当前研究/fifth_round_20260912/候选榜单_v3_释放版.md,candidate_ranking_interpretation,多靶点,第五轮候选审计,REJECTED,high,历史错误解释留档,00-当前研究/qualification_v1/RESEARCH_STATE.md,9115482131a9188c84d9d23a336125134e7eadf064858f80a104ba5dcda2fd66,7215,1,EXISTS,旧 docking/综合榜单解释不得继续作为科学结论
AIDD-LIT-MATRIX-001,aidd,00-当前研究/qualification_v1/MASTER_EVIDENCE_MATRIX.csv,evidence_matrix,MASH/FASN/Moracin N,qualification_v1,VERIFIED,high,唯一正式 claim-evidence 链,,ef4239c7ca40a8e14c7fcb86c1ba045412de661618f3a20785d3b706e9ab1b4d,5721,1,EXISTS,主库权威证据入口
AIDD-STATE-001,aidd,00-当前研究/qualification_v1/RESEARCH_STATE.md,research_state,项目,qualification_v1,VERIFIED,high,当前状态唯一入口,,c2f471715960c7d78adc31a175193501659a5434a35fca5caf12dd37887671a1,6460,1,EXISTS,与研究状态.json 同步
GNN-RAW-001,hepato-gnn-screening,data/raw/tcm_seed_compounds.csv,raw_labeled_table,GNN/历史分类,GNN 历史线,HISTORICAL,medium,旧输入保留,,f448b47b6a466105474646791c73c92ab9f2f669e0c8ac7aaddb6eebff752c2a,12333,1,EXISTS,88 条一般保肝旧标签；不是 MASH assay-level 标签
GNN-RAW-002,hepato-gnn-screening,data/raw/novel_terpenes_lignans.csv,raw_unlabeled_pool,GNN/历史分类,GNN 历史线,HISTORICAL,low,旧筛选池保留,,598e0d32ea69eef9483cbf867e4359c4a0d49ed4b0e1c4430dc29721229d001d,2097,1,EXISTS,12 条旧无标签池；不转为当前 NP54 FASN 候选
GNN-CUR-001,hepato-gnn-screening,data/curation/compound_registry.csv,curation_registry,GNN/结构身份,GNN 审计,REQUALIFY,high,人工结构/标签审核入口,,4ef23d6c68f365590058908021d5ebefbc4cadad8b646e82ff95a177e2dbbaa3,39110,1,EXISTS,100/100 identity pending_review、label unresolved；不自动签名
GNN-FIX-001,hepato-gnn-screening,final-aidd-screening/data/smiles_fix.json,structure_correction,GNN/结构身份,GNN 审计,REQUALIFY,medium,待人工复核的结构建议,,29ce0611228629c6814766e54999cc75f7e9161d5b023d7adf1bbec0df4e2fac,1026,1,EXISTS,5 条 PubChem 建议结构；不能绕过注册表审核
GNN-VAL-001,hepato-gnn-screening,results/validation,validation_bundle,GNN/审计,GNN 审计,VERIFIED,high,软件/诊断/门控失败证据,,2097448dc449e709d3c9fe0e18d04ab555c06adcd364652aa0393ce4216fedf1,1990402,79,EXISTS,包含 GNN diagnostic、FXR/KEAP1 redock 和修复批次；不等于科学放行
GNN-VERIFY-LEGACY-001,aidd,00-当前研究/asset_preservation_and_gnn_replan_v1/legacy_metadata/software_checks_pre_20260914.json,legacy_validation_snapshot,GNN/审计,asset preservation v1,HISTORICAL,medium,修复前软件回归快照,hepato-gnn-screening/results/validation/software_checks.json,d8345829f088e6799bd808a2d2749a0d29189978c9c224762ee706a3a60aa540,1855,1,EXISTS,原始 hash d8345829...；本轮修复空 CSV 后 9/9 通过；科学验证仍 not_granted
GNN-WEIGHT-001,hepato-gnn-screening,results/validation/gnn_model_diagnostic/results/metrics/gnn_weights.npz,model_artifact,GNN/历史分类,GNN 审计,HISTORICAL,low,旧 NumPy 权重可读性参考,,7f5e082dee07ef50ddc59db9c44da96867ea48d0a10b92df5b396074cd894139,9382,1,EXISTS,13→32→16→1；无 PyG checkpoint，不作当前主模型
GNN-REVISED-001,hepato-gnn-screening,final-aidd-screening/run_revised.py,reproduction_code,GNN/诊断,GNN 审计,VERIFIED,medium,reviewed 阻断/diagnostic 复现入口,,fcee94a304ac0db9b719bcbc298cdb4697be456027b5bfd8365959ce9754daa3,3016,1,EXISTS,默认阻断未审核数据；diagnostic 仅旧标签方法诊断
GNN-CODE-NP-001,hepato-gnn-screening,src/models/gnn.py,model_code,GNN/历史分类,GNN 历史线,VERIFIED,medium,教学/方法实现,,e14ec9b30eead35f535614334ae3cef2474ded76b52655ff75a837fdcbfdd1f1,9543,1,EXISTS,真实 numpy GCN、手写反向和 MC dropout；不等于正式科学资格
GNN-DATASET-001,hepato-gnn-screening,src/models/dataset.py,data_loader_code,GNN/历史分类,GNN 历史线,REQUALIFY,medium,方法学习参考,,59cdd8876d903275e0c4d6d490bd679a63b649cfd1be12a4086d9af38dce8660,2061,1,EXISTS,元素未知值回退碳槽位；旧标签和旧 split 另行降级
GNN-SPLIT-001,hepato-gnn-screening,data/splits,split_bundle,GNN/历史分类,GNN 历史线,HISTORICAL,low,历史复现参考,,bebade2554f47faf1e66e381c3c3e096a96b800e0388e6bd6d04fd26391c081f,22514,3,EXISTS,train/test 实测共享 2 个 Murcko scaffold；不可作泛化证据
GNN-RESULTS-001,hepato-gnn-screening,results,results_bundle,GNN/历史分类,GNN 历史线,HISTORICAL,low,旧结果/错误分析/教学,D:/zcode-workspace/aidd-repo-work/00-当前研究/qualification_v1/derived/GNN_benchmark_summary.csv,3a87d65bf0dbac531d3b7b572a1caeba68729dba49d5c11c1123ddea2cf5a7fc,2170398,98,EXISTS,旧 Top-10/旧标签/旧模型输出全部保留但不发布
GNN-STATUS-001,hepato-gnn-screening,docs/PROJECT_STATUS.md,research_state,GNN,GNN 历史线,VERIFIED,high,历史状态与限制说明,,cde090d5cbf083a5dad4d065bd599845ef2ceb58f838e59af0051707c53fc6ef,9131,1,EXISTS,已明确旧榜不能作为 V1 投稿结论
GNN-STATE-001,hepato-gnn-screening,RESEARCH_STATE.md,research_state,GNN,asset preservation v1,VERIFIED,high,本仓库当前状态入口,D:/zcode-workspace/aidd-repo-work/00-当前研究/qualification_v1/RESEARCH_STATE.md,285934e2bba939d1e72ec596f0491412e2959be029080440f0d1a1096d09408b,2377,1,EXISTS,gated/closed；不替代 AIDD 主库
GNN-STATUSJSON-001,hepato-gnn-screening,STATUS.json,state_json,GNN,asset preservation v1,VERIFIED,high,本仓库机器状态,D:/zcode-workspace/aidd-repo-work/00-当前研究/研究状态.json,e1be8e486c972b8a8e21df155eec3fcd0390d58973bf1f9e2afff79fd08a1b09,1425,1,EXISTS,candidate_release=false；旧资产分层
GNN-PLAN-001,hepato-gnn-screening,GNN_RESEARCH_PLAN_v2.md,research_plan,GNN,asset preservation v1,VERIFIED,high,GNN 当前计划,D:/zcode-workspace/aidd-repo-work/00-当前研究/asset_preservation_and_gnn_replan_v1/GNN_RESEARCH_PLAN_v2.md,ff287e5ef10594e47462d89605b4378695e0290be9b7187ed04c241c5f1288df,2422,1,EXISTS,T1 前不启用 GNN 主模型
GNN-AUDIT-001,hepato-gnn-screening,GNN仓库审计.md,repo_audit,GNN,asset preservation v1,VERIFIED,high,仓库定位裁决,,178d6bef6050e371145ba3f38032396dcdfb447430d03b22cb4cc2a6728808fd,2444,1,EXISTS,小修即可；不改名、不搬目录
GNN-ASSET-001,hepato-gnn-screening,GNN数据与模型状态表.csv,asset_status_table,GNN,asset preservation v1,VERIFIED,high,旧代码/数据/模型状态表,D:/zcode-workspace/aidd-repo-work/00-当前研究/asset_preservation_and_gnn_replan_v1/MASTER_ASSET_REGISTRY.csv,0e650f8965b3fa8f3cd025849446d08cc434f956b94b79a1eb28c93a4a9eea8a,2022,1,EXISTS,旧标签/旧 split/旧结果降级
WB-STATE-001,workbench,pages/17_Research_State.py,state_mirror_code,平台,qualification_v1,VERIFIED,high,主库只读镜像,,2c84c1a0f109c49d798a2de88f0b7d5aa4a027c7fb1ef5db390352560288d267,10182,1,EXISTS,缺主库目录即 BLOCKED，不生成候选
WB-STATE-002,workbench,tests/test_research_state_page.py,test_code,平台,qualification_v1,VERIFIED,high,镜像契约测试,,dd3f2c2336bd9fbc2a3358284ec087974c9ae4112bbbc91d4fe89e6c743bd1d9,2202,1,EXISTS,AppTest/数据契约
